workerid,strangedescription,trial_type,actual_utterance,actual_effect_question,name,object_level,gender,num_objects,object,effect,actual_cause,quantifier,rt,cause,response,other_gender,slide_number_in_experiment
6,,cause_effect_prior,"""None of the butterflies ate the seeds.""",Do you think Dennis is describing a normal event?,Edward,object_mid,M,15,butterflies,ate the seeds,Edward left seeds out for  15 butterflies.,None,1519,left seeds out for __,yes,M,19
6,,cause_effect_prior,"""Pushing stuff is so much fun.""",Do you think Emma is describing a normal event?,Nicholas,object_high,M,15,wheelchairs,rolled,Nicholas pushed  15 wheelchairs.,long_filler,1983,pushed __,yes,F,20
6,,cause_effect_prior,"""Some of the birthday cards had the letter Z in them.""",Do you think William is describing a normal event?,Mary,object_low,F,15,birthday cards,had the letter Z in them,Mary wrote  15 birthday cards.,Some,2175,wrote __,yes,M,21
6,,cause_effect_prior,"""Some of the shirts ripped.""",Do you think Gary is describing a normal event?,Brandon,object_mid,M,15,shirts,ripped,Brandon used  15 shirts  as dog toys.,Some,1631,used __ as dog toys,yes,M,22
6,,cause_effect_prior,"""Everyone with the selfie craze these days.""",Do you think Lisa is describing a normal event?,John,object_mid,M,15,phones,flashed,John took a picture with  15 phones.,long_filler,2344,took a picture with __,yes,F,23
6,"Balloons tend to float in the air, not sink - unless filled with a heavier than water substance.",cause_effect_prior,"""None of the balloons sank.""",Do you think Jessica is describing a normal event?,Linda,object_low,F,15,balloons,sank,Linda threw  15 balloons  into a pool.,None,21569,threw __ into a pool,no,F,24
6,,cause_effect_prior,"""That requires a lot of concentration.""",Do you think Charles is describing a normal event?,Tyler,object_mid,M,15,balloons,popped,Tyler poked  15 balloons  with a pin.,long_filler,1943,poked __ with a pin,yes,M,25
6,,cause_effect_prior,"""All of the limericks rhymed.""",Do you think Richard is describing a normal event?,Donna,object_high,F,15,limericks,rhymed,Donna wrote  15 limericks.,All,2494,wrote __,yes,M,26
6,,cause_effect_prior,"""All of the bicyclists honked.""",Do you think Brenda is describing a normal event?,Joyce,object_low,F,15,bicyclists,honked,Joyce cut off  15 bicyclists.,All,1768,cut off __,yes,F,27
6,,cause_effect_prior,"""Nothing out of the ordinary.""",Do you think Daniel is describing a normal event?,Amanda,object_low,F,15,bottles of hand soap,froze,Amanda put  15 bottles of hand soap  in the freezer.,short_filler,1311,put __ in the freezer,yes,M,28
6,,cause_effect_prior,"""Some of the kids laughed.""",Do you think Ruth is describing a normal event?,Timothy,object_high,M,15,kids,laughed,Timothy told a joke to  15 kids.,Some,1935,told a joke to __,yes,F,29
6,,cause_effect_prior,"""As usual.""",Do you think Susan is describing a normal event?,Deborah,object_low,F,15,baseballs,stuck to the wall,Deborah threw  15 baseballs  against a wall.,short_filler,2432,threw __ against a wall,yes,F,30
6,,cause_effect_prior,"""All of the pancakes landed flat.""",Do you think Frank is describing a normal event?,Robert,object_mid,M,15,pancakes,landed flat,Robert tossed  15 pancakes.,All,3279,tossed __,yes,M,31
6,,cause_effect_prior,"""I should start growing those myself.""",Do you think Jeffrey is describing a normal event?,George,object_mid,M,15,bananas,were green,George saw  15 bananas.,long_filler,2087,saw __,yes,M,32
7,,cause_effect_prior,"""Some of the taxi drivers honked.""",Do you think Thomas is describing a normal event?,Steven,object_high,M,15,taxi drivers,honked,Steven cut off  15 taxi drivers.,Some,9239,cut off __,yes,M,3
7,I don&quotechart hear of anyone adding that much sugar to a bucket of water,cause_effect_prior,"""Pretty normal.""",Do you think James is describing a normal event?,Anthony,object_high,M,15,sugar cubes,dissolved,Anthony put  15 sugar cubes  in a bucket of water.,short_filler,28081,put __ in a bucket of water,no,M,4
7,,cause_effect_prior,"""Some of the songs rhymed.""",Do you think Helen is describing a normal event?,Mary,object_mid,F,15,songs,rhymed,Mary wrote  15 songs.,Some,3638,wrote __,yes,F,5
7,,cause_effect_prior,"""Some of the matches burnt.""",Do you think Paul is describing a normal event?,Joseph,object_high,M,15,matches,burnt,Joseph threw  15 matches  into a fire.,Some,5573,threw __ into a fire,yes,M,6
7,,cause_effect_prior,"""None of the sequins stuck.""",Do you think Deborah is describing a normal event?,Kenneth,object_mid,M,15,sequins,stuck,Kenneth glued  15 sequins  to a piece of paper.,None,6636,glued __ to a piece of paper,yes,F,7
7,Who puts 15 backpacks on a table?,cause_effect_prior,"""Some of the backpacks blew away.""",Do you think Angela is describing a normal event?,Daniel,object_low,M,15,backpacks,blew away,Daniel left  15 backpacks  on a table on a windy day.,Some,13686,left __ on a table on a windy day,no,F,8
7,,cause_effect_prior,"""Nothing out of the ordinary.""",Do you think Rebecca is describing a normal event?,Sarah,object_high,F,15,ice cubes,melted,Sarah left  15 ice cubes  in the hot sun.,short_filler,4554,left __ in the hot sun,yes,F,9
7,,cause_effect_prior,"""All of the novels had the letter Z in them.""",Do you think Susan is describing a normal event?,Robert,object_high,M,15,novels,had the letter Z in them,Robert wrote  15 novels.,All,4415,wrote __,yes,F,10
7,,cause_effect_prior,"""Some of the cameras flashed.""",Do you think Brian is describing a normal event?,Raymond,object_high,M,15,cameras,flashed,Raymond took a picture with  15 cameras.,Some,7276,took a picture with __,yes,M,11
7,This makes no sense to me,cause_effect_prior,"""That would be a pretty useful gadget.""",Do you think Jennifer is describing a normal event?,Emily,object_high,F,15,laptops,ran out of batteries,Emily left  15 laptops  on (and unplugged) all day.,long_filler,11061,left __ on (and unplugged) all day,no,F,12
7,,cause_effect_prior,"""Some of the cars stopped.""",Do you think Donna is describing a normal event?,Jack,object_high,M,15,cars,stopped,Jack pressed the brakes on  15 cars.,Some,4770,pressed the brakes on __,yes,F,13
7,,cause_effect_prior,"""All of the cakes stuck to the wall.""",Do you think Michelle is describing a normal event?,Nicholas,object_mid,M,15,cakes,stuck to the wall,Nicholas threw  15 cakes  against a wall.,All,3955,threw __ against a wall,yes,F,14
7,Strawberries are typically red,cause_effect_prior,"""All of the strawberries were green.""",Do you think David is describing a normal event?,Elizabeth,object_low,F,15,strawberries,were green,Elizabeth saw  15 strawberries.,All,13165,saw __,no,M,15
7,Julie punched shelves,cause_effect_prior,"""As usual.""",Do you think Emily is describing a normal event?,Julie,object_low,F,15,shelves,fell down,Julie punched  15 shelves.,short_filler,14783,punched __,no,F,16
7,eggs would normally explode,cause_effect_prior,"""None of the eggs exploded.""",Do you think Donald is describing a normal event?,Richard,object_high,M,15,eggs,exploded,Richard heated up  15 eggs  in a microwave.,None,10042,heated up __ in a microwave,no,M,17
7,wheelchairs do roll,cause_effect_prior,"""None of the wheelchairs rolled.""",Do you think Matthew is describing a normal event?,Anna,object_high,F,15,wheelchairs,rolled,Anna pushed  15 wheelchairs.,None,11359,pushed __,no,M,18
7,,cause_effect_prior,"""Some of the shoes ripped.""",Do you think Joyce is describing a normal event?,Sharon,object_low,F,15,shoes,ripped,Sharon used  15 shoes  as dog toys.,Some,5439,used __ as dog toys,yes,F,19
7,,cause_effect_prior,"""Typical.""",Do you think Amy is describing a normal event?,Ashley,object_high,F,15,bubbles,popped,Ashley poked  15 bubbles  with a pin.,short_filler,5723,poked __ with a pin,yes,F,20
7,,cause_effect_prior,"""Some of the new cars beeped.""",Do you think Jason is describing a normal event?,George,object_high,M,15,new cars,beeped,George left the lights on in  15 new cars.,Some,11592,left the lights on in __,yes,M,21
7,,cause_effect_prior,"""I wish someone would leave seeds out for me.""",Do you think Frank is describing a normal event?,Jonathan,object_high,M,15,birds,ate the seeds,Jonathan left seeds out for  15 birds.,long_filler,5891,left seeds out for __,yes,M,22
7,,cause_effect_prior,"""None of the gas tanks exploded.""",Do you think Ruth is describing a normal event?,Virginia,object_high,F,15,gas tanks,exploded,Virginia lit  15 gas tanks.,None,3435,lit __,yes,F,23
7,,cause_effect_prior,"""Nothing surprising there.""",Do you think Lisa is describing a normal event?,Gregory,object_low,M,15,logs,broke,Gregory ran  15 logs  over with a car.,short_filler,3655,ran __ over with a car,yes,F,24
7,,cause_effect_prior,"""What a great way to reduce trash.""",Do you think Andrew is describing a normal event?,Brandon,object_high,M,15,banana peels,decomposed,Brandon put  15 banana peels  in a compost pile for a month.,long_filler,5671,put __ in a compost pile for a month,yes,M,25
7,balloons would not usually sink,cause_effect_prior,"""Some of the balloons sank.""",Do you think Janet is describing a normal event?,Karen,object_low,F,15,balloons,sank,Karen threw  15 balloons  into a pool.,Some,11680,threw __ into a pool,no,F,26
7,,cause_effect_prior,"""Why always the red?""",Do you think Kevin is describing a normal event?,Carolyn,object_mid,F,15,white shirts,got stained,Carolyn spilled red nail polish on  15 white shirts.,long_filler,4921,spilled red nail polish on __,yes,M,27
7,flash lights usually light up,cause_effect_prior,"""None of the flashlights lit up.""",Do you think Cynthia is describing a normal event?,Christopher,object_high,M,15,flashlights,lit up,Christopher pressed the &quotecharon&quotechar button on  15 flashlights.,None,11145,pressed the &quotecharon&quotechar button on __,no,F,28
7,,cause_effect_prior,"""Some of the coins landed flat.""",Do you think Diane is describing a normal event?,Catherine,object_high,F,15,coins,landed flat,Catherine tossed  15 coins.,Some,4529,tossed __,yes,F,29
7,,cause_effect_prior,"""All of the chocolate bars froze.""",Do you think Dennis is describing a normal event?,Christina,object_mid,F,15,chocolate bars,froze,Christina put  15 chocolate bars  in the freezer.,All,4395,put __ in the freezer,yes,M,30
7,,cause_effect_prior,"""All of the kids laughed.""",Do you think Heather is describing a normal event?,Rachel,object_high,F,15,kids,laughed,Rachel told a joke to  15 kids.,All,3868,told a joke to __,yes,F,31
7,,cause_effect_prior,"""Why not just take them inside?""",Do you think Jeffrey is describing a normal event?,Edward,object_mid,M,15,diamonds,reflected the sunlight,Edward placed  15 diamonds  in the sun.,long_filler,4155,placed __ in the sun,yes,M,32
8,Throwing cakes against a wall is odd behavior.,cause_effect_prior,"""None of the cakes stuck to the wall.""",Do you think Carolyn is describing a normal event?,Brandon,object_mid,M,15,cakes,stuck to the wall,Brandon threw  15 cakes  against a wall.,None,34504,threw __ against a wall,no,F,3
8,,cause_effect_prior,"""Nothing surprising there.""",Do you think Jennifer is describing a normal event?,Dorothy,object_low,F,15,phone screens,reflected the sunlight,Dorothy placed  15 phone screens  in the sun.,short_filler,63368,placed __ in the sun,yes,F,4
8,,cause_effect_prior,"""As usual.""",Do you think Brenda is describing a normal event?,Paul,object_low,M,15,houses,beeped,Paul left the lights on in  15 houses.,short_filler,27265,left the lights on in __,yes,F,5
8,,cause_effect_prior,"""All of the laptops ran out of batteries.""",Do you think Anthony is describing a normal event?,George,object_high,M,15,laptops,ran out of batteries,George left  15 laptops  on (and unplugged) all day.,All,11200,left __ on (and unplugged) all day,yes,M,6
8,They should have been stained.,cause_effect_prior,"""None of the white tablecloths got stained.""",Do you think Donna is describing a normal event?,Ronald,object_low,M,15,white tablecloths,got stained,Ronald spilled red nail polish on  15 white tablecloths.,None,17090,spilled red nail polish on __,no,F,7
8,Eggs do not pop.,cause_effect_prior,"""Some of the eggs popped.""",Do you think Nicholas is describing a normal event?,Nancy,object_low,F,15,eggs,popped,Nancy poked  15 eggs  with a pin.,Some,13688,poked __ with a pin,no,M,8
8,,cause_effect_prior,"""Some of the poems rhymed.""",Do you think Deborah is describing a normal event?,Richard,object_low,M,15,poems,rhymed,Richard wrote  15 poems.,Some,6454,wrote __,yes,F,9
8,,cause_effect_prior,"""I wish we could just say &quotecharon&quotechar.""",Do you think Heather is describing a normal event?,Helen,object_high,F,15,flashlights,lit up,Helen pressed the &quotecharon&quotechar button on  15 flashlights.,long_filler,9358,pressed the &quotecharon&quotechar button on __,yes,F,10
8,,cause_effect_prior,"""None of the rocks burnt.""",Do you think Lisa is describing a normal event?,Benjamin,object_low,M,15,rocks,burnt,Benjamin threw  15 rocks  into a fire.,None,6131,threw __ into a fire,yes,F,11
8,,cause_effect_prior,"""All of the notebooks landed flat.""",Do you think Amy is describing a normal event?,Larry,object_low,M,15,notebooks,landed flat,Larry tossed  15 notebooks.,All,6145,tossed __,yes,F,12
8,,cause_effect_prior,"""None of the oreos dissolved.""",Do you think Sarah is describing a normal event?,William,object_mid,M,15,oreos,dissolved,William put  15 oreos  in a bucket of water.,None,14306,put __ in a bucket of water,yes,F,13
8,,cause_effect_prior,"""Some of the banana peels decomposed.""",Do you think Christina is describing a normal event?,Ruth,object_high,F,15,banana peels,decomposed,Ruth put  15 banana peels  in a compost pile for a month.,Some,6762,put __ in a compost pile for a month,yes,F,14
8,You don&quotechart really leave seeds out for dogs.,cause_effect_prior,"""Some of the dogs ate the seeds.""",Do you think Ashley is describing a normal event?,Patrick,object_low,M,15,dogs,ate the seeds,Patrick left seeds out for  15 dogs.,Some,19525,left seeds out for __,no,F,15
8,,cause_effect_prior,"""Typical.""",Do you think Thomas is describing a normal event?,John,object_high,M,15,cameras,flashed,John took a picture with  15 cameras.,short_filler,10575,took a picture with __,yes,M,16
8,The block towers would have fell down if she had hit them.,cause_effect_prior,"""None of the block towers fell down.""",Do you think Nicole is describing a normal event?,Emily,object_mid,F,15,block towers,fell down,Emily punched  15 block towers.,None,28891,punched __,no,F,17
8,,cause_effect_prior,"""Some of the berries froze.""",Do you think Gary is describing a normal event?,Jacob,object_high,M,15,berries,froze,Jacob put  15 berries  in the freezer.,Some,5600,put __ in the freezer,yes,M,18
8,,cause_effect_prior,"""Some of the beads stuck.""",Do you think Elizabeth is describing a normal event?,Emma,object_low,F,15,beads,stuck,Emma glued  15 beads  to a piece of paper.,Some,4409,glued __ to a piece of paper,yes,F,19
8,,cause_effect_prior,"""Why does Lucy always leave her stuff in the driveway?""",Do you think Sandra is describing a normal event?,Kevin,object_mid,M,15,boxes,broke,Kevin ran  15 boxes  over with a car.,long_filler,9752,ran __ over with a car,yes,F,20
8,Books aren&quotechart typically used as a dog toy.,cause_effect_prior,"""Doesn&quotechart the dog have its own toys?""",Do you think Andrew is describing a normal event?,Joyce,object_high,F,15,books,ripped,Joyce used  15 books  as dog toys.,long_filler,19997,used __ as dog toys,no,M,21
8,Putting tin foil in the microwave would have caused a fire.,cause_effect_prior,"""Pretty normal.""",Do you think Robert is describing a normal event?,Jessica,object_mid,F,15,balls of tin foil,exploded,Jessica heated up  15 balls of tin foil  in a microwave.,short_filler,20570,heated up __ in a microwave,no,M,22
8,,cause_effect_prior,"""Nothing out of the ordinary.""",Do you think Virginia is describing a normal event?,Cynthia,object_high,F,15,kids,laughed,Cynthia told a joke to  15 kids.,short_filler,6374,told a joke to __,yes,F,23
8,Cars honk bicyclists do not.,cause_effect_prior,"""All of the bicyclists honked.""",Do you think Daniel is describing a normal event?,Charles,object_low,M,15,bicyclists,honked,Charles cut off  15 bicyclists.,All,19307,cut off __,no,M,24
8,All of the marbles would have sank.,cause_effect_prior,"""Some of the marbles sank.""",Do you think Ryan is describing a normal event?,Margaret,object_high,F,15,marbles,sank,Margaret threw  15 marbles  into a pool.,Some,13508,threw __ into a pool,no,M,25
8,,cause_effect_prior,"""Some of the shopping carts rolled.""",Do you think Diane is describing a normal event?,Samuel,object_mid,M,15,shopping carts,rolled,Samuel pushed  15 shopping carts.,Some,5952,pushed __,yes,F,26
8,,cause_effect_prior,"""So many parts need to work for us to not die.""",Do you think Janet is describing a normal event?,Raymond,object_mid,M,15,motorcycles,stopped,Raymond pressed the brakes on  15 motorcycles.,long_filler,19372,pressed the brakes on __,yes,F,27
8,,cause_effect_prior,"""All of the hats blew away.""",Do you think Jason is describing a normal event?,Dennis,object_mid,M,15,hats,blew away,Dennis left  15 hats  on a table on a windy day.,All,4623,left __ on a table on a windy day,yes,M,28
8,,cause_effect_prior,"""All of the ice cubes melted.""",Do you think Jeffrey is describing a normal event?,Jonathan,object_high,M,15,ice cubes,melted,Jonathan left  15 ice cubes  in the hot sun.,All,3658,left __ in the hot sun,yes,M,29
8,Candles do not explode when lit.,cause_effect_prior,"""Some of the candles exploded.""",Do you think Kimberly is describing a normal event?,Christopher,object_low,M,15,candles,exploded,Christopher lit  15 candles.,Some,12331,lit __,no,F,30
8,,cause_effect_prior,"""I just don&quotechart have the patience to write one of those.""",Do you think Karen is describing a normal event?,Rachel,object_high,F,15,novels,had the letter Z in them,Rachel wrote  15 novels.,long_filler,11006,wrote __,yes,F,31
8,,cause_effect_prior,"""Some of the bananas were green.""",Do you think Mark is describing a normal event?,Donald,object_mid,M,15,bananas,were green,Donald saw  15 bananas.,Some,5547,saw __,yes,M,32
9,The nail polish stained white tablecloths.,cause_effect_prior,"""None of the white tablecloths got stained.""",Do you think Carol is describing a normal event?,Catherine,object_low,F,15,white tablecloths,got stained,Catherine spilled red nail polish on  15 white tablecloths.,None,44412,spilled red nail polish on __,no,F,3
9,,cause_effect_prior,"""Some of the bananas were green.""",Do you think Cynthia is describing a normal event?,William,object_mid,M,15,bananas,were green,William saw  15 bananas.,Some,10983,saw __,yes,F,4
9,,cause_effect_prior,"""Nothing out of the ordinary.""",Do you think Michael is describing a normal event?,Tyler,object_mid,M,15,crayons,melted,Tyler left  15 crayons  in the hot sun.,short_filler,12151,left __ in the hot sun,yes,M,5
9,,cause_effect_prior,"""Some of the bus drivers honked.""",Do you think John is describing a normal event?,Amy,object_mid,F,15,bus drivers,honked,Amy cut off  15 bus drivers.,Some,10583,cut off __,yes,M,6
9,,cause_effect_prior,"""Typical.""",Do you think Joseph is describing a normal event?,Angela,object_low,F,15,toy cars,rolled,Angela pushed  15 toy cars.,short_filler,6633,pushed __,yes,M,7
9,"Without knowing more about Paul, writing 15 novels is extraordinary.",cause_effect_prior,"""Nothing surprising there.""",Do you think Eric is describing a normal event?,Paul,object_high,M,15,novels,had the letter Z in them,Paul wrote  15 novels.,short_filler,33758,wrote __,no,M,8
9,,cause_effect_prior,"""Some of the phones flashed.""",Do you think Thomas is describing a normal event?,Mary,object_mid,F,15,phones,flashed,Mary took a picture with  15 phones.,Some,10720,took a picture with __,yes,M,9
9,I&quotechard think all of the marbles would sink.,cause_effect_prior,"""Some of the marbles sank.""",Do you think Ryan is describing a normal event?,Ashley,object_high,F,15,marbles,sank,Ashley threw  15 marbles  into a pool.,Some,26711,threw __ into a pool,no,M,10
9,,cause_effect_prior,"""Pretty normal.""",Do you think Christopher is describing a normal event?,Jonathan,object_mid,M,15,pinecones,decomposed,Jonathan put  15 pinecones  in a compost pile for a month.,short_filler,7544,put __ in a compost pile for a month,yes,M,11
9,,cause_effect_prior,"""Some of the oreos dissolved.""",Do you think Laura is describing a normal event?,Raymond,object_mid,M,15,oreos,dissolved,Raymond put  15 oreos  in a bucket of water.,Some,9705,put __ in a bucket of water,yes,F,12
9,,cause_effect_prior,"""Some of the coins landed flat.""",Do you think Jack is describing a normal event?,Donald,object_high,M,15,coins,landed flat,Donald tossed  15 coins.,Some,9839,tossed __,yes,M,13
9,Kind of a cutting remark.,cause_effect_prior,"""That&quotechars one way of spending your free time.""",Do you think Jennifer is describing a normal event?,Larry,object_high,M,15,eggs,exploded,Larry heated up  15 eggs  in a microwave.,long_filler,36672,heated up __ in a microwave,no,F,14
9,Seems strange there would be 15 bikes with failing brakes.,cause_effect_prior,"""None of the bicycles stopped.""",Do you think Matthew is describing a normal event?,Virginia,object_low,F,15,bicycles,stopped,Virginia pressed the brakes on  15 bicycles.,None,28103,pressed the brakes on __,no,M,15
9,,cause_effect_prior,"""All of the cd-players lit up.""",Do you think Jeffrey is describing a normal event?,Alexander,object_low,M,15,cd-players,lit up,Alexander pressed the &quotecharon&quotechar button on  15 cd-players.,All,5888,pressed the &quotecharon&quotechar button on __,yes,M,16
9,,cause_effect_prior,"""All of the berries froze.""",Do you think Emma is describing a normal event?,Sarah,object_high,F,15,berries,froze,Sarah put  15 berries  in the freezer.,All,4999,put __ in the freezer,yes,F,17
9,Use of the word strange implies it was unusual.,cause_effect_prior,"""What a strange thing to do.""",Do you think Betty is describing a normal event?,Rachel,object_high,F,15,pieces of gum,stuck to the wall,Rachel threw  15 pieces of gum  against a wall.,long_filler,37574,threw __ against a wall,no,F,18
9,,cause_effect_prior,"""None of the block towers fell down.""",Do you think Brandon is describing a normal event?,Jason,object_mid,M,15,block towers,fell down,Jason punched  15 block towers.,None,8423,punched __,yes,M,19
9,,cause_effect_prior,"""All of the eggs popped.""",Do you think Daniel is describing a normal event?,Anna,object_low,F,15,eggs,popped,Anna poked  15 eggs  with a pin.,All,5599,poked __ with a pin,yes,M,20
9,,cause_effect_prior,"""Some of the gas tanks exploded.""",Do you think Karen is describing a normal event?,Margaret,object_high,F,15,gas tanks,exploded,Margaret lit  15 gas tanks.,Some,9104,lit __,yes,F,21
9,,cause_effect_prior,"""Some of the hats blew away.""",Do you think Janet is describing a normal event?,Helen,object_mid,F,15,hats,blew away,Helen left  15 hats  on a table on a windy day.,Some,5560,left __ on a table on a windy day,yes,F,22
9,,cause_effect_prior,"""All of the phone screens reflected the sunlight.""",Do you think Kenneth is describing a normal event?,Timothy,object_low,M,15,phone screens,reflected the sunlight,Timothy placed  15 phone screens  in the sun.,All,6743,placed __ in the sun,yes,M,23
9,,cause_effect_prior,"""Why does Lucy always leave her stuff in the driveway?""",Do you think Linda is describing a normal event?,Scott,object_low,M,15,logs,broke,Scott ran  15 logs  over with a car.,long_filler,8495,ran __ over with a car,yes,F,24
9,She&quotechars not describing anything.,cause_effect_prior,"""I wish someone would leave seeds out for me.""",Do you think Michelle is describing a normal event?,Heather,object_mid,F,15,butterflies,ate the seeds,Heather left seeds out for  15 butterflies.,long_filler,32409,left seeds out for __,no,F,25
9,,cause_effect_prior,"""All of the lawyers laughed.""",Do you think Nicholas is describing a normal event?,Elizabeth,object_low,F,15,lawyers,laughed,Elizabeth told a joke to  15 lawyers.,All,5399,told a joke to __,yes,M,26
9,,cause_effect_prior,"""As usual.""",Do you think Dennis is describing a normal event?,George,object_high,M,15,limericks,rhymed,George wrote  15 limericks.,short_filler,6617,wrote __,yes,M,27
9,,cause_effect_prior,"""None of the phones ran out of batteries.""",Do you think Patrick is describing a normal event?,Melissa,object_low,F,15,phones,ran out of batteries,Melissa left  15 phones  on (and unplugged) all day.,None,10823,left __ on (and unplugged) all day,yes,M,28
9,,cause_effect_prior,"""Some of the books ripped.""",Do you think Jacob is describing a normal event?,Frank,object_high,M,15,books,ripped,Frank used  15 books  as dog toys.,Some,5831,used __ as dog toys,yes,M,29
9,Statement doesn&quotechart describe anything.,cause_effect_prior,"""That&quotechars not very good for the environment.""",Do you think Amanda is describing a normal event?,Sharon,object_low,F,15,houses,beeped,Sharon left the lights on in  15 houses.,long_filler,20542,left the lights on in __,no,F,30
9,I would expect at least some to stick.,cause_effect_prior,"""None of the sequins stuck.""",Do you think Julie is describing a normal event?,Joshua,object_mid,M,15,sequins,stuck,Joshua glued  15 sequins  to a piece of paper.,None,40760,glued __ to a piece of paper,no,F,31
9,,cause_effect_prior,"""Some of the matches burnt.""",Do you think Charles is describing a normal event?,Rebecca,object_high,F,15,matches,burnt,Rebecca threw  15 matches  into a fire.,Some,5160,threw __ into a fire,yes,M,32
10,Webcams don&quotechart usually have lights on them.,cause_effect_prior,"""Some of the webcams flashed.""",Do you think David is describing a normal event?,Carol,object_low,F,15,webcams,flashed,Carol took a picture with  15 webcams.,Some,16094,took a picture with __,no,M,3
10,,cause_effect_prior,"""Who came up with that idea?""",Do you think Kevin is describing a normal event?,Jerry,object_mid,M,15,fireworks,exploded,Jerry lit  15 fireworks.,long_filler,16096,lit __,yes,M,4
10,,cause_effect_prior,"""That&quotechars one way of spending your free time.""",Do you think Alexander is describing a normal event?,Patrick,object_high,M,15,eggs,exploded,Patrick heated up  15 eggs  in a microwave.,long_filler,10197,heated up __ in a microwave,yes,M,5
10,Most names don&quotechart have a z,cause_effect_prior,"""All of the birthday cards had the letter Z in them.""",Do you think Robert is describing a normal event?,Christopher,object_low,M,15,birthday cards,had the letter Z in them,Christopher wrote  15 birthday cards.,All,8963,wrote __,no,M,6
10,Matches should burn.,cause_effect_prior,"""None of the matches burnt.""",Do you think Ashley is describing a normal event?,James,object_high,M,15,matches,burnt,James threw  15 matches  into a fire.,None,12467,threw __ into a fire,no,F,7
10,,cause_effect_prior,"""I just wish the weather was better.""",Do you think Kathleen is describing a normal event?,Heather,object_high,F,15,napkins,blew away,Heather left  15 napkins  on a table on a windy day.,long_filler,4942,left __ on a table on a windy day,yes,F,8
10,,cause_effect_prior,"""I love throwing stuff, too.""",Do you think Jessica is describing a normal event?,William,object_low,M,15,notebooks,landed flat,William tossed  15 notebooks.,long_filler,3249,tossed __,yes,F,9
10,They should light up if on,cause_effect_prior,"""None of the computers lit up.""",Do you think Linda is describing a normal event?,Paul,object_mid,M,15,computers,lit up,Paul pressed the &quotecharon&quotechar button on  15 computers.,None,17518,pressed the &quotecharon&quotechar button on __,no,F,10
10,They should roll if she pushed them.,cause_effect_prior,"""None of the toy cars rolled.""",Do you think Emma is describing a normal event?,Donna,object_low,F,15,toy cars,rolled,Donna pushed  15 toy cars.,None,10422,pushed __,no,F,11
10,they should break.,cause_effect_prior,"""None of the logs broke.""",Do you think Daniel is describing a normal event?,Joseph,object_low,M,15,logs,broke,Joseph ran  15 logs  over with a car.,None,10745,ran __ over with a car,no,M,12
10,,cause_effect_prior,"""Some of the bicycles stopped.""",Do you think Donald is describing a normal event?,Christina,object_low,F,15,bicycles,stopped,Christina pressed the brakes on  15 bicycles.,Some,8325,pressed the brakes on __,yes,M,13
10,,cause_effect_prior,"""All of the comedians laughed.""",Do you think Betty is describing a normal event?,Jennifer,object_mid,F,15,comedians,laughed,Jennifer told a joke to  15 comedians.,All,5209,told a joke to __,yes,F,14
10,butterflies don&quotechart eat seeds,cause_effect_prior,"""Nothing surprising there.""",Do you think Benjamin is describing a normal event?,Rachel,object_mid,F,15,butterflies,ate the seeds,Rachel left seeds out for  15 butterflies.,short_filler,13884,left seeds out for __,no,M,15
10,metal doesn&quotechart decompose,cause_effect_prior,"""All of the soda cans decomposed.""",Do you think Michael is describing a normal event?,George,object_low,M,15,soda cans,decomposed,George put  15 soda cans  in a compost pile for a month.,All,10680,put __ in a compost pile for a month,no,M,16
10,all should be stained,cause_effect_prior,"""Some of the white shirts got stained.""",Do you think John is describing a normal event?,Melissa,object_mid,F,15,white shirts,got stained,Melissa spilled red nail polish on  15 white shirts.,Some,8281,spilled red nail polish on __,no,M,17
10,carrots don&quotechart dissolve,cause_effect_prior,"""Some of the carrots dissolved.""",Do you think Anna is describing a normal event?,Jeffrey,object_low,M,15,carrots,dissolved,Jeffrey put  15 carrots  in a bucket of water.,Some,13149,put __ in a bucket of water,no,F,18
10,,cause_effect_prior,"""As usual.""",Do you think Larry is describing a normal event?,Susan,object_high,F,15,marbles,sank,Susan threw  15 marbles  into a pool.,short_filler,2781,threw __ into a pool,yes,M,19
10,they should all be green,cause_effect_prior,"""Some of the clovers were green.""",Do you think Nicholas is describing a normal event?,Cynthia,object_high,F,15,clovers,were green,Cynthia saw  15 clovers.,Some,8517,saw __,no,M,20
10,all of the berries should freeze,cause_effect_prior,"""Some of the berries froze.""",Do you think Amanda is describing a normal event?,Anthony,object_high,M,15,berries,froze,Anthony put  15 berries  in the freezer.,Some,12930,put __ in the freezer,no,F,21
10,,cause_effect_prior,"""None of the shirts ripped.""",Do you think Michelle is describing a normal event?,Angela,object_mid,F,15,shirts,ripped,Angela used  15 shirts  as dog toys.,None,5304,used __ as dog toys,yes,F,22
10,,cause_effect_prior,"""Some of the new cars beeped.""",Do you think Raymond is describing a normal event?,Julie,object_high,F,15,new cars,beeped,Julie left the lights on in  15 new cars.,Some,3363,left the lights on in __,yes,M,23
10,they should all pop,cause_effect_prior,"""Some of the balloons popped.""",Do you think Thomas is describing a normal event?,Amy,object_mid,F,15,balloons,popped,Amy poked  15 balloons  with a pin.,Some,7151,poked __ with a pin,no,M,24
